Id_Cam_Seguretat,Codi_Cam_Seguretat,Tipus_Cam_Seguretat,Num_Cam_Seguretat,Codi_Suport,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,X_ETRS89,Y_ETRS89,Longitud,Latitud,Data_Alta
417676,CIM,Càmera mòbil,46,Mastil,5,Sarrià-Sant Gervasi,24,les Tres Torres,427276339,4584054540,2.1299474,41.4047462,2000-01-01T00:00:00Z
417799,CIF,Càmera fixa,124,Mastil,9,Sant Andreu,60,Sant Andreu,432032602,4588242896,2.186374,41.4428856,2000-01-01T00:00:00Z
417821,CIF,Càmera fixa,108,Mastil,3,Sants-Montjuïc,11,el Poble Sec,428914560,4580737558,2.149934,41.3750186,2010-05-19T00:00:00Z
417824,CIM,Càmera mòbil,92,Mastil,3,Sants-Montjuïc,18,Sants,428266554,4581372320,2.1421106,41.3806778,2010-05-19T00:00:00Z
417921,DOMO,Càmera mòbil,82,Mastil,2,Eixample,5,el Fort Pienc,431561819,4583402911,2.1812866,41.3992541,2010-05-26T00:00:00Z
417924,CIM,Càmera mòbil,84,Mastil,4,Les Corts,19,les Corts,427986950,4582558968,2.138626,41.3913404,2010-05-26T00:00:00Z
434340,CIM,Càmera mòbil,31,Mastil,3,Sants-Montjuïc,16,la Bordeta,427731172,4579631544,2.1359159,41.364951,2011-02-18T00:00:00Z
434347,CIF,Càmera fixa,126,Mastil,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,432226842,4582698436,2.1893202,41.3929651,2011-02-18T00:00:00Z
434351,CIF,Càmera fixa,128,Mastil,1,Ciutat Vella,3,la Barceloneta,431955281,4581485310,2.1862085,41.3820162,2011-02-18T00:00:00Z
434354,CIM,Càmera mòbil,27,Mastil,1,Ciutat Vella,3,la Barceloneta,431955281,4581485310,2.1862085,41.3820162,2011-02-18T00:00:00Z
434371,DOMO,Càmera mòbil,25,Mastil,1,Ciutat Vella,1,el Raval,431145643,4580652274,2.1766211,41.3744441,2011-02-18T00:00:00Z
434389,DOMO,Càmera mòbil,23,Mastil,2,Eixample,8,l'Antiga Esquerra de l'Eixample,428784868,4582393436,2.1481886,41.389921,2011-02-18T00:00:00Z
435205,DOMO,Càmera mòbil,54,Mastil,2,Eixample,7,la Dreta de l'Eixample,430591036,4582159125,2.169817,41.3879686,2011-03-04T00:00:00Z
435220,CIF,Càmera fixa,116,Mastil,7,Horta-Guinardó,36,la Font d'en Fargues,429699471,4586136888,2.1586924,41.4237173,2011-03-04T00:00:00Z
435228,CIM,Càmera mòbil,60,Mastil,2,Eixample,10,Sant Antoni,430440455,4580704756,2.168183,41.3748557,2011-03-04T00:00:00Z
435230,CIM,Càmera mòbil,99,Mastil,2,Eixample,7,la Dreta de l'Eixample,430775038,4583232962,2.1718949,41.3976554,2011-03-04T00:00:00Z
435232,CIM,Càmera mòbil,77,Mastil,4,Les Corts,20,la Maternitat i Sant Ramon,425777020,4581809451,2.112287,41.3843892,2011-03-04T00:00:00Z
435233,CIF,Càmera fixa,132,Mastil,4,Les Corts,20,la Maternitat i Sant Ramon,425777020,4581809451,2.112287,41.3843892,2011-03-04T00:00:00Z
435235,DOMO,Càmera mòbil,53,Mastil,2,Eixample,10,Sant Antoni,429657700,4581521589,2.1587288,41.3821451,2011-03-04T00:00:00Z
435237,DOMO,Càmera mòbil,55,Mastil,2,Eixample,7,la Dreta de l'Eixample,430177511,4581940611,2.1648967,41.3859645,2011-03-04T00:00:00Z
435378,CIM,Càmera mòbil,34,Mastil,2,Eixample,7,la Dreta de l'Eixample,430681316,4582547768,2.1708523,41.3914763,2011-03-11T00:00:00Z
435382,CIF,Càmera fixa,18,Mastil,10,Sant Martí,65,el Clot,432045113,4584627186,2.1869301,41.4103218,2011-03-11T00:00:00Z
435593,CIF,Càmera fixa,120,Mastil,9,Sant Andreu,61,la Sagrera,432068996,4585704220,2.1870949,41.4200237,2011-03-22T00:00:00Z
