"idClienteEprinsa","AñoMes","Identificador","NumLámparasTotal","NumLámparasMercurio","NumLámparasHalogenuros","NumLámparasFluorescentes","NumLámparasSodio","NumLámparasLED","NumLámparasOtros","Tipo","Dirección","Descripción","CoordenadaX","CoordenadaY"
"1009","202406","NDA.ENE.007.1814774","955","0","917","0","0","38","0","Halogenuros","Calle Castillo, 32","Puntos de luz - BELMEZ  - idSig: 1814774","306548","4238434"
"1009","202406","NDA.ENE.007.1814548","955","0","917","0","0","38","0","Halogenuros","Calle Real {Doña Rama}, 1","Puntos de luz - BELMEZ  - idSig: 1814548","301090","4232783"
"1009","202406","NDA.ENE.007.1814125","955","0","917","0","0","38","0","LED","Calle Bélmez, 29","Puntos de luz - BELMEZ  - idSig: 1814125","307301","4238115"
"1009","202406","NDA.ENE.007.1814538","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814538","301141","4232655"
"1009","202406","NDA.ENE.007.1814657","955","0","917","0","0","38","0","Halogenuros","Calle Perchel, 6","Puntos de luz - BELMEZ  - idSig: 1814657","299448","4235741"
"1009","202406","NDA.ENE.007.1813935","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813935","306544","4238634"
"1009","202406","NDA.ENE.007.1814073","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814073","307432","4238063"
"1009","202406","NDA.ENE.007.1813951","955","0","917","0","0","38","0","Halogenuros","Calle Vinculo, 82","Puntos de luz - BELMEZ  - idSig: 1813951","306339","4239182"
"1009","202406","NDA.ENE.007.1814133","955","0","917","0","0","38","0","LED","Calle Peñarroya-Pueblonuevo, 60","Puntos de luz - BELMEZ  - idSig: 1814133","307287","4238248"
"1009","202406","NDA.ENE.007.1814472","955","0","917","0","0","38","0","Halogenuros","Calle Tesoro, 0","Puntos de luz - BELMEZ  - idSig: 1814472","306697","4238321"
"1009","202406","NDA.ENE.007.1814015","955","0","917","0","0","38","0","Halogenuros","Calle Pilar, 9","Puntos de luz - BELMEZ  - idSig: 1814015","306771","4238435"
"1009","202406","NDA.ENE.007.1814709","955","0","917","0","0","38","0","Halogenuros","Calle San Antonio, 2","Puntos de luz - BELMEZ  - idSig: 1814709","306752","4238222"
"1009","202406","NDA.ENE.007.1814584","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814584","299562","4235675"
"1009","202406","NDA.ENE.007.1814331","955","0","917","0","0","38","0","Halogenuros","Calle Córdoba, 94","Puntos de luz - BELMEZ  - idSig: 1814331","307167","4238061"
"1009","202406","NDA.ENE.007.1814533","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1814533","299562","4235686"
"1009","202406","NDA.ENE.007.1814552","955","0","917","0","0","38","0","Halogenuros","Calle Real {Doña Rama}, 10","Puntos de luz - BELMEZ  - idSig: 1814552","301009","4232863"
"1009","202406","NDA.ENE.007.1814707","955","0","917","0","0","38","0","Halogenuros","Calle San Antonio, 16","Puntos de luz - BELMEZ  - idSig: 1814707","306679","4238262"
"1009","202406","NDA.ENE.007.1814771","955","0","917","0","0","38","0","Halogenuros","Calle Hospital, 24","Puntos de luz - BELMEZ  - idSig: 1814771","306497","4238384"
"1009","202406","NDA.ENE.007.1814160","955","0","917","0","0","38","0","Halogenuros","Calle Córdoba, 9","Puntos de luz - BELMEZ  - idSig: 1814160","306816","4238306"
"1009","202406","NDA.ENE.007.1814231","955","0","917","0","0","38","0","Halogenuros","Avenida de la Universidad, 33","Puntos de luz - BELMEZ  - idSig: 1814231","306983","4237587"
"1009","202406","NDA.ENE.007.1814393","955","0","917","0","0","38","0","Halogenuros","Calle Torres Quevedo, 2","Puntos de luz - BELMEZ  - idSig: 1814393","307025","4238539"
"1009","202406","NDA.ENE.007.1814770","955","0","917","0","0","38","0","Halogenuros","Calle Hospital, 20","Puntos de luz - BELMEZ  - idSig: 1814770","306515","4238390"
"1009","202406","NDA.ENE.007.1814797","955","0","917","0","0","38","0","Halogenuros","Avenida de la Universidad, 9","Puntos de luz - BELMEZ  - idSig: 1814797","306888","4238013"
"1009","202406","NDA.ENE.007.1813959","955","0","917","0","0","38","0","Halogenuros","","Puntos de luz - BELMEZ  - idSig: 1813959","306479","4239009"
"1009","202406","NDA.ENE.007.1814109","955","0","917","0","0","38","0","Halogenuros","Calle Bélmez, 79","Puntos de luz - BELMEZ  - idSig: 1814109","307018","4238282"
